# offset relative_offset cap_id vs_cap_id value
0x0000    0 0x00 0x00 0x57800000
0x0001    1 0x00 0x00 0x0008010a
0x0002    2 0x00 0x00 0x01200102
0x0003    3 0x00 0x00 0x81400000
0x0004    4 0x00 0x00 0x00800000
0x0005    5 0x00 0x00 0x00004008
0x0006    6 0x00 0x00 0x00000000
0x0007    7 0x00 0x00 0x00000000
0x0008    8 0x00 0x00 0x00000000
0x000a    0 0x04 0x00 0xc0000410
0x000b    1 0x04 0x00 0x00000000
0x000c    2 0x04 0x00 0x00000000
0x000d    3 0x04 0x00 0x00000000
0x000e    4 0x04 0x00 0x00001081
0x0010    0 0x05 0x00 0x2f000500
0x0011    1 0x05 0x00 0x0201f616
0x0012    2 0x05 0x00 0x00001389
0x0013    3 0x05 0x00 0x00000028
0x0014    4 0x05 0x00 0x00000000
0x0015    5 0x05 0x00 0x00000000
0x0016    6 0x05 0x00 0x00000909
0x0017    7 0x05 0x00 0x00000000
0x0018    8 0x05 0x00 0x00000000
0x0019    9 0x05 0x00 0x00000000
0x001a   10 0x05 0x00 0x00000000
0x001b   11 0x05 0x00 0x00000000
0x001c   12 0x05 0x00 0x00000909
0x001d   13 0x05 0x00 0x00640007
0x001e   14 0x05 0x00 0x00052000
0x001f   15 0x05 0x00 0x8a007d00
0x0020   16 0x05 0x00 0x0006e090
0x0021   17 0x05 0x00 0x00000000
0x0022   18 0x05 0x00 0x00000000
0x0023   19 0x05 0x00 0x00000000
0x0024   20 0x05 0x00 0x00000000
0x0025   21 0x05 0x00 0x77a010a3
0x0026   22 0x05 0x00 0x00460000
0x0027   23 0x05 0x00 0x4b018a4f
0x0028   24 0x05 0x00 0xc0200102
0x0029   25 0x05 0x00 0x0d070b07
0x002a   26 0x05 0x00 0x100b040a
0x002b   27 0x05 0x00 0x07500092
0x002c   28 0x05 0x00 0x03414005
0x002d   29 0x05 0x00 0x025800ab
0x002e   30 0x05 0x00 0x01380000
0x002f   31 0x05 0x00 0x00223323
0x0030   32 0x05 0x00 0x00000000
0x0031   33 0x05 0x00 0x000001b6
0x0032   34 0x05 0x00 0x00000000
0x0033   35 0x05 0x00 0x00000000
0x0034   36 0x05 0x00 0x00000000
0x0035   37 0x05 0x00 0x00000000
0x0036   38 0x05 0x00 0x00000000
0x0037   39 0x05 0x00 0x00000000
0x0038   40 0x05 0x00 0x00000000
0x0039   41 0x05 0x00 0x00000000
0x003a   42 0x05 0x00 0x00000000
0x003b   43 0x05 0x00 0x00000000
0x003c   44 0x05 0x00 0x00000000
0x003d   45 0x05 0x00 0x00000000
0x003e   46 0x05 0x00 0x00000000
