# offset relative_offset cap_id vs_cap_id value
0x0000    0 0x00 0x00 0x57868087
0x0001    1 0x00 0x00 0x8515c16b
0x0002    2 0x00 0x00 0x00000001
0x0003    3 0x00 0x00 0x80000000
0x0004    4 0x00 0x00 0x4000200a
0x0005    5 0x00 0x00 0x83000000
0x0006    6 0x00 0x00 0x03000000
0x0007    7 0x00 0x00 0x808714c4
0x0008    8 0x00 0x00 0xe87ca900
0x0009    9 0x00 0x00 0x02620200
0x000a   10 0x00 0x00 0x1c282800
0x000b   11 0x00 0x00 0x02170045
0x000c   12 0x00 0x00 0x55524f41
0x000d   13 0x00 0x00 0x54522053
0x000e   14 0x00 0x00 0x39303558
0x000f   15 0x00 0x00 0x49412030
0x0010   16 0x00 0x00 0x584f4220
0x0011   17 0x00 0x00 0x09080300
0x0012   18 0x00 0x00 0x0420090f
0x0013   19 0x00 0x00 0x7a620414
0x0014   20 0x00 0x00 0x00006202
0x0015   21 0x00 0x00 0x11010000
0x0016   22 0x00 0x00 0x9481010b
0x0017   23 0x00 0x00 0x03958202
0x0018   24 0x00 0x00 0x84049683
0x0019   25 0x00 0x00 0x01000008
0x001a   26 0x00 0x00 0x00000022
0x006b    0 0x03 0x00 0x43200386
0x006c    1 0x03 0x00 0x2ff80000
0x006d    2 0x03 0x00 0x0012c677
0x006e    3 0x03 0x00 0x00100000
0x006f    4 0x03 0x00 0xe4b05330
0x0070    5 0x03 0x00 0xffffffe9
0x0071    6 0x03 0x00 0xe4b05330
0x0072    7 0x03 0x00 0xffffffe9
0x0073    8 0x03 0x00 0x046b2d4e
0x0074    9 0x03 0x00 0x046b2d4e
0x0075   10 0x03 0x00 0x00533f12
0x0076   11 0x03 0x00 0x00000000
0x0077   12 0x03 0x00 0xf48b0000
0x0078   13 0x03 0x00 0x0012c676
0x0079   14 0x03 0x00 0x00000000
0x007a   15 0x03 0x00 0x00208208
0x007b   16 0x03 0x00 0x00000000
0x007c   17 0x03 0x00 0x00000000
0x007d   18 0x03 0x00 0x00000000
0x007e   19 0x03 0x00 0x00000000
0x007f   20 0x03 0x00 0x00000000
0x0080   21 0x03 0x00 0x00000000
0x0081   22 0x03 0x00 0xf6882d90
0x0082   23 0x03 0x00 0x00000002
0x0083   24 0x03 0x00 0x00000000
0x0084   25 0x03 0x00 0x00000000
0x0086    0 0x05 0x01 0x2b0105b2
0x0087    1 0x05 0x01 0x00005001
0x0088    2 0x05 0x01 0x00000000
0x0089    3 0x05 0x01 0xffffffff
0x008a    4 0x05 0x01 0x00000402
0x008b    5 0x05 0x01 0x0f394612
0x008c    6 0x05 0x01 0x00028000
0x008d    7 0x05 0x01 0x00000000
0x008e    8 0x05 0x01 0x9be40002
0x008f    9 0x05 0x01 0x00000000
0x0090   10 0x05 0x01 0x00000000
0x0091   11 0x05 0x01 0x00000000
0x0092   12 0x05 0x01 0x00000210
0x0093   13 0x05 0x01 0x00000000
0x0094   14 0x05 0x01 0xff0819fc
0x0095   15 0x05 0x01 0x00000000
0x0096   16 0x05 0x01 0x80000002
0x0097   17 0x05 0x01 0x00000014
0x0098   18 0x05 0x01 0x00000001
0x0099   19 0x05 0x01 0x00600000
0x009a   20 0x05 0x01 0x00000000
0x009b   21 0x05 0x01 0x00000000
0x009c   22 0x05 0x01 0x00000002
0x009d   23 0x05 0x01 0x00002222
0x009e   24 0x05 0x01 0x000000a8
0x009f   25 0x05 0x01 0x00016000
0x00a0   26 0x05 0x01 0xf8000000
0x00a1   27 0x05 0x01 0x00000000
0x00a2   28 0x05 0x01 0x00000000
0x00a3   29 0x05 0x01 0x00000000
0x00a4   30 0x05 0x01 0x00000000
0x00a5   31 0x05 0x01 0x00000000
0x00a6   32 0x05 0x01 0xffffffff
0x00a7   33 0x05 0x01 0x00000000
0x00a8   34 0x05 0x01 0x04000000
0x00a9   35 0x05 0x01 0x040067c0
0x00aa   36 0x05 0x01 0x040067c0
0x00ab   37 0x05 0x01 0x00000000
0x00ac   38 0x05 0x01 0x00000000
0x00ad   39 0x05 0x01 0x00f68601
0x00ae   40 0x05 0x01 0x00000000
0x00af   41 0x05 0x01 0x00000000
0x00b0   42 0x05 0x01 0x00000000
0x00b2    0 0x05 0x03 0x320305e5
0x00b3    1 0x05 0x03 0x02ee0010
0x00b4    2 0x05 0x03 0x00000000
0x00b5    3 0x05 0x03 0x00000000
0x00b6    4 0x05 0x03 0x00000000
0x00b7    5 0x05 0x03 0x00000000
0x00b8    6 0x05 0x03 0x00000000
0x00b9    7 0x05 0x03 0x00000000
0x00ba    8 0x05 0x03 0x0a0a0000
0x00bb    9 0x05 0x03 0x00000030
0x00bc   10 0x05 0x03 0x00000000
0x00bd   11 0x05 0x03 0x00000000
0x00be   12 0x05 0x03 0x00000000
0x00bf   13 0x05 0x03 0x00000000
0x00c0   14 0x05 0x03 0x00000000
0x00c1   15 0x05 0x03 0x00000000
0x00c2   16 0x05 0x03 0x00000000
0x00c3   17 0x05 0x03 0x00000000
0x00c4   18 0x05 0x03 0x00000000
0x00c5   19 0x05 0x03 0x00000000
0x00c6   20 0x05 0x03 0x0f010501
0x00c7   21 0x05 0x03 0x000003e9
0x00c8   22 0x05 0x03 0x80000000
0x00c9   23 0x05 0x03 0x10000077
0x00ca   24 0x05 0x03 0x0800f0f2
0x00cb   25 0x05 0x03 0x00000014
0x00cc   26 0x05 0x03 0xf8084245
0x00cd   27 0x05 0x03 0x00000000
0x00ce   28 0x05 0x03 0x00000000
0x00cf   29 0x05 0x03 0x00000000
0x00d0   30 0x05 0x03 0x00000000
0x00d1   31 0x05 0x03 0x00000000
0x00d2   32 0x05 0x03 0x00000000
0x00d3   33 0x05 0x03 0x00000000
0x00d4   34 0x05 0x03 0x00000000
0x00d5   35 0x05 0x03 0x42d41e8c
0x00d6   36 0x05 0x03 0x1a14510c
0x00d7   37 0x05 0x03 0x00000000
0x00d8   38 0x05 0x03 0x00000000
0x00d9   39 0x05 0x03 0x00000000
0x00da   40 0x05 0x03 0x00000000
0x00db   41 0x05 0x03 0x00000000
0x00dc   42 0x05 0x03 0x20000000
0x00dd   43 0x05 0x03 0x00000000
0x00de   44 0x05 0x03 0xdeadbeef
0x00df   45 0x05 0x03 0xdeadbeef
0x00e0   46 0x05 0x03 0xdeadbeef
0x00e1   47 0x05 0x03 0xdeadbeef
0x00e2   48 0x05 0x03 0xdeadbeef
0x00e3   49 0x05 0x03 0xdeadbeef
0x00e5    0 0x05 0x04 0x0b0405ff
0x00e6    1 0x05 0x04 0x00effe07
0x00e7    2 0x05 0x04 0x00fffe19
0x00e8    3 0x05 0x04 0x00fffe61
0x00e9    4 0x05 0x04 0x00ffff81
0x00ea    5 0x05 0x04 0x00000000
0x00eb    6 0x05 0x04 0x00000000
0x00ec    7 0x05 0x04 0x00000000
0x00ed    8 0x05 0x04 0x00000000
0x00ee    9 0x05 0x04 0x00000000
0x00ef   10 0x05 0x04 0x00000000
0x00ff    0 0x05 0x06 0x00060500
0x0100    1 0x05 0x06 0x04140000
0x0101    2 0x05 0x06 0x01001404
0x0102    3 0x05 0x06 0x00000000
0x0103    4 0x05 0x06 0x00000000
0x0104    5 0x05 0x06 0x00000000
0x0105    6 0x05 0x06 0x00000000
0x0106    7 0x05 0x06 0x00000000
0x0107    8 0x05 0x06 0x00000000
0x0108    9 0x05 0x06 0x00000000
0x0109   10 0x05 0x06 0x00000000
0x010a   11 0x05 0x06 0x00000000
0x010b   12 0x05 0x06 0x00000000
0x010c   13 0x05 0x06 0x00000000
0x010d   14 0x05 0x06 0x00000000
0x010e   15 0x05 0x06 0x00000000
0x010f   16 0x05 0x06 0x00000000
0x0110   17 0x05 0x06 0x00000000
0x0111   18 0x05 0x06 0x00000000
0x0112   19 0x05 0x06 0x00000000
0x0113   20 0x05 0x06 0x00008087
0x0114   21 0x05 0x06 0x00005786
0x0115   22 0x05 0x06 0x00000001
0x0116   23 0x05 0x06 0x20505041
0x0117   24 0x05 0x06 0x20204d45
0x0118   25 0x05 0x06 0x808714c4
0x0119   26 0x05 0x06 0xe87ca900
0x011a   27 0x05 0x06 0x00000000
0x011b   28 0x05 0x06 0x00000000
0x011c   29 0x05 0x06 0x00000000
0x011d   30 0x05 0x06 0x00000000
0x011e   31 0x05 0x06 0x00000000
0x011f   32 0x05 0x06 0x00000000
0x0120   33 0x05 0x06 0x00000000
0x0121   34 0x05 0x06 0x00000000
0x0122   35 0x05 0x06 0x00010900
0x0123   36 0x05 0x06 0x00000000
0x0124   37 0x05 0x06 0x00000000
0x0125   38 0x05 0x06 0x00000000
0x0126   39 0x05 0x06 0x000bfffe
0x0127   40 0x05 0x06 0x00000000
0x0128   41 0x05 0x06 0x00000000
0x0129   42 0x05 0x06 0x00000000
0x012a   43 0x05 0x06 0x00000000
0x012b   44 0x05 0x06 0x00000000
0x012c   45 0x05 0x06 0x00000000
0x012d   46 0x05 0x06 0x00000000
0x012e   47 0x05 0x06 0x00000000
0x012f   48 0x05 0x06 0x00000000
0x0130   49 0x05 0x06 0x00000000
0x0131   50 0x05 0x06 0x00000000
0x0132   51 0x05 0x06 0x00035103
0x0133   52 0x05 0x06 0x00340000
0x0134   53 0x05 0x06 0x000000ff
0x0135   54 0x05 0x06 0x00001f1f
0x0136   55 0x05 0x06 0x000000da
0x0137   56 0x05 0x06 0x00700000
0x0138   57 0x05 0x06 0x00000103
0x0139   58 0x05 0x06 0x00000000
0x013a   59 0x05 0x06 0x00000000
0x013b   60 0x05 0x06 0x00000000
0x013c   61 0x05 0x06 0x00000000
0x013d   62 0x05 0x06 0x1000048a
0x013e   63 0x05 0x06 0x00000000
0x013f   64 0x05 0x06 0x6400f05c
0x0140   65 0x05 0x06 0x03208948
0x0141   66 0x05 0x06 0x23204000
0x0142   67 0x05 0x06 0x00b2c000
0x0143   68 0x05 0x06 0x6400704d
0x0144   69 0x05 0x06 0x0000000a
0x0145   70 0x05 0x06 0x00000000
0x0146   71 0x05 0x06 0x00000001
0x0147   72 0x05 0x06 0x00000302
0x0148   73 0x05 0x06 0x0107c288
0x0149   74 0x05 0x06 0x00840845
0x014a   75 0x05 0x06 0x00000000
0x014b   76 0x05 0x06 0x00000000
0x014c   77 0x05 0x06 0x00000000
0x014d   78 0x05 0x06 0x00000000
0x014e   79 0x05 0x06 0x00000000
0x014f   80 0x05 0x06 0x00202200
0x0150   81 0x05 0x06 0x00001020
0x0151   82 0x05 0x06 0x00000000
0x0152   83 0x05 0x06 0x00000000
0x0153   84 0x05 0x06 0x00000000
0x0154   85 0x05 0x06 0x00000000
0x0155   86 0x05 0x06 0x00000000
0x0156   87 0x05 0x06 0x00000000
0x0157   88 0x05 0x06 0x00000000
0x0158   89 0x05 0x06 0x00200400
0x0159   90 0x05 0x06 0x00200400
0x015a   91 0x05 0x06 0x00400100
0x015b   92 0x05 0x06 0x00400d00
0x015c   93 0x05 0x06 0x00000000
0x015d   94 0x05 0x06 0x00000000
0x015e   95 0x05 0x06 0x00000000
0x015f   96 0x05 0x06 0x04010501
0x0160   97 0x05 0x06 0x08003333
0x0161   98 0x05 0x06 0x08e308e3
0x0162   99 0x05 0x06 0x0360000c
0x0163  100 0x05 0x06 0x00000000
0x0164  101 0x05 0x06 0x00000000
0x0165  102 0x05 0x06 0x00000000
0x0166  103 0x05 0x06 0x00000000
0x0167  104 0x05 0x06 0x00000000
0x0168  105 0x05 0x06 0x00000000
0x0169  106 0x05 0x06 0x00000000
0x016a  107 0x05 0x06 0x00000000
0x016b  108 0x05 0x06 0x00000000
0x016c  109 0x05 0x06 0x00000000
0x016d  110 0x05 0x06 0x00000000
0x016e  111 0x05 0x06 0x00000000
0x016f  112 0x05 0x06 0x00000000
0x0170  113 0x05 0x06 0x00000000
0x0171  114 0x05 0x06 0x00000000
0x0172  115 0x05 0x06 0x00000000
0x0173  116 0x05 0x06 0x00000000
0x0174  117 0x05 0x06 0x00000000
0x0175  118 0x05 0x06 0x00000000
0x0176  119 0x05 0x06 0x42840845
0x0177  120 0x05 0x06 0x50555355
0x0178  121 0x05 0x06 0x00000000
0x0179  122 0x05 0x06 0x00000000
0x017a  123 0x05 0x06 0x00000000
0x017b  124 0x05 0x06 0x00000000
0x017c  125 0x05 0x06 0x00000000
0x017d  126 0x05 0x06 0x00000000
0x017e  127 0x05 0x06 0x00000000
0x017f  128 0x05 0x06 0x00000000
0x0180  129 0x05 0x06 0x00000000
0x0181  130 0x05 0x06 0x00000000
0x0182  131 0x05 0x06 0x00000000
0x0183  132 0x05 0x06 0x00000000
0x0184  133 0x05 0x06 0x00000000
0x0185  134 0x05 0x06 0x00000000
0x0186  135 0x05 0x06 0x00000000
0x0187  136 0x05 0x06 0x00000000
0x0188  137 0x05 0x06 0x00000000
0x0189  138 0x05 0x06 0x00000000
0x018a  139 0x05 0x06 0x00000000
0x018b  140 0x05 0x06 0x00000000
0x018c  141 0x05 0x06 0x00000000
0x018d  142 0x05 0x06 0x00000000
0x018e  143 0x05 0x06 0x00000000
0x018f  144 0x05 0x06 0x00000000
0x0190  145 0x05 0x06 0x00000000
0x0191  146 0x05 0x06 0x00000000
0x0192  147 0x05 0x06 0x00000000
0x0193  148 0x05 0x06 0x00000000
0x0194  149 0x05 0x06 0x00000000
0x0195  150 0x05 0x06 0x00000000
0x0196  151 0x05 0x06 0x00000000
0x0197  152 0x05 0x06 0x00000000
0x0198  153 0x05 0x06 0x00000000
0x0199  154 0x05 0x06 0x00000000
0x019a  155 0x05 0x06 0x00000000
0x019b  156 0x05 0x06 0x00000000
0x019c  157 0x05 0x06 0x00000000
0x019d  158 0x05 0x06 0x00000000
0x019e  159 0x05 0x06 0x00000000
0x019f  160 0x05 0x06 0x00000000
0x01a0  161 0x05 0x06 0x011ff303
0x01a1  162 0x05 0x06 0x818c7e7e
0x01a2  163 0x05 0x06 0x00000000
0x01a3  164 0x05 0x06 0x00000000
0x01a4  165 0x05 0x06 0x0002034f
0x01a5  166 0x05 0x06 0x02001970
0x01a6  167 0x05 0x06 0x00000000
0x01a7  168 0x05 0x06 0x00000000
0x01a8  169 0x05 0x06 0x00000003
0x01a9  170 0x05 0x06 0x00000140
0x01aa  171 0x05 0x06 0x00050b00
0x01ab  172 0x05 0x06 0x00000000
0x01ac  173 0x05 0x06 0x00000000
0x01ad  174 0x05 0x06 0x00000000
0x01ae  175 0x05 0x06 0x41b600ed
0x01af  176 0x05 0x06 0x00000220
0x01b0  177 0x05 0x06 0x31360009
0x01b1  178 0x05 0x06 0x00000000
0x01b2  179 0x05 0x06 0x00000000
0x01b3  180 0x05 0x06 0x00000000
0x01b4  181 0x05 0x06 0x00000000
0x01b5  182 0x05 0x06 0x00000000
0x01b6  183 0x05 0x06 0x00000000
0x01b7  184 0x05 0x06 0x00000000
0x01b8  185 0x05 0x06 0x00002c0f
0x01b9  186 0x05 0x06 0x0003f303
0x01ba  187 0x05 0x06 0x00000000
0x01bb  188 0x05 0x06 0x18900093
0x01bc  189 0x05 0x06 0x00000000
0x01bd  190 0x05 0x06 0x0c0c0021
0x01be  191 0x05 0x06 0x00b00606
0x01bf  192 0x05 0x06 0x0040f000
0x01c0  193 0x05 0x06 0x00000003
0x01c1  194 0x05 0x06 0x00000000
0x01c2  195 0x05 0x06 0x00000000
0x01c3  196 0x05 0x06 0x00000000
0x01c4  197 0x05 0x06 0x00000000
0x01c5  198 0x05 0x06 0x00000000
0x01c6  199 0x05 0x06 0x00040000
0x01c7  200 0x05 0x06 0x8e8e717c
0x01c8  201 0x05 0x06 0x00000000
0x01c9  202 0x05 0x06 0x00000000
0x01ca  203 0x05 0x06 0x00000000
0x01cb  204 0x05 0x06 0x00000000
0x01cc  205 0x05 0x06 0x0000000a
0x01cd  206 0x05 0x06 0x18900093
0x01ce  207 0x05 0x06 0x00000000
0x01cf  208 0x05 0x06 0x00000000
0x01d0  209 0x05 0x06 0x00038003
0x01d1  210 0x05 0x06 0x00080008
0x01d2  211 0x05 0x06 0x00000000
0x01d3  212 0x05 0x06 0x00000000
0x01d4  213 0x05 0x06 0x00000011
0x01d5  214 0x05 0x06 0x2305230d
0x01d6  215 0x05 0x06 0x00000000
0x01d7  216 0x05 0x06 0x00000000
0x01d8  217 0x05 0x06 0x00000000
0x01d9  218 0x05 0x06 0x00000000
0x01da  219 0x05 0x06 0x00000000
0x01db  220 0x05 0x06 0x65000011
0x01dc  221 0x05 0x06 0x0000009c
0x01dd  222 0x05 0x06 0x00000000
0x01de  223 0x05 0x06 0x00000000
0x01df  224 0x05 0x06 0x00000000
0x01e0  225 0x05 0x06 0x22000303
0x01e1  226 0x05 0x06 0x22000303
0x01e2  227 0x05 0x06 0x00000000
0x01e3  228 0x05 0x06 0x00000000
0x01e4  229 0x05 0x06 0x00000000
0x01e5  230 0x05 0x06 0x00000000
0x01e6  231 0x05 0x06 0x010e0000
0x01e7  232 0x05 0x06 0x00000000
0x01e8  233 0x05 0x06 0x00000000
0x01e9  234 0x05 0x06 0x00000000
0x01ea  235 0x05 0x06 0x010e0000
0x01eb  236 0x05 0x06 0x00000000
0x01ec  237 0x05 0x06 0x00000000
0x01ed  238 0x05 0x06 0x00000001
0x01ee  239 0x05 0x06 0x00000000
