# offset relative_offset cap_id vs_cap_id value
0x0000    0 0x00 0x00 0x57800000
0x0001    1 0x00 0x00 0x0000000a
0x0002    2 0x00 0x00 0x01000001
0x0003    3 0x00 0x00 0x80200000
0x0004    4 0x00 0x00 0xca000000
0x0005    5 0x00 0x00 0x0000f81f
0x0006    6 0x00 0x00 0x00000000
0x0007    7 0x00 0x00 0x00000000
0x0008    8 0x00 0x00 0x00000000
0x000a    0 0x03 0x00 0x00000336
0x000b    1 0x03 0x00 0x00220000
0x000c    2 0x03 0x00 0x00190000
0x000d    3 0x03 0x00 0x00000000
0x000e    4 0x03 0x00 0x08bf08bf
0x000f    5 0x03 0x00 0x000008bf
0x0010    6 0x03 0x00 0x00100000
0x0011    7 0x03 0x00 0x00000000
0x0012    8 0x03 0x00 0x00000000
0x0013    9 0x03 0x00 0x00000000
0x0036    0 0x01 0x00 0x1cfe0100
0x0037    1 0x01 0x00 0x4824003e
0x0038    2 0x01 0x00 0x00000000
